domain,ratio,deviation_pct
Human body (navel:height),1.618033988749895,0.0
Fibonacci spiral,1.618033988749895,0.0
Finger:palm bone,1.618033988749895,0.0
EEG alpha:theta frequency,1.6181229773462783,0.005514039757660765
Cochlea turns (inner ear),1.5450849718747373,4.510565162951535
DNA helix width:length per turn,1.7000000000000002,5.066785729831282
